timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-05-04T13:33:00.290285,22,0,9.97,0.0094,0.0933,2.2634,0.0,0,PoA
2026-05-04T13:33:44.083875,22,0,0.36,0.0101,0.0933,3.1721,0.0,0,PoA
2026-05-04T13:34:27.402400,22,0,965.23,0.011,0.0933,3.5231,0.0,0,PoA
2026-05-04T13:35:09.987935,22,0,1.11,0.0104,0.1166,3.0773,0.0,0,PoA
2026-05-04T13:35:52.077116,22,0,0.43,0.0108,0.0933,1.8654,0.0,0,PoA
2026-05-04T13:36:34.728168,22,0,0.36,0.0091,0.0933,1.9133,0.0,0,PoA
2026-05-04T13:37:18.630208,22,0,0.42,0.0103,0.0933,2.4497,0.0,0,PoA
2026-05-04T13:38:02.181154,22,0,4.71,0.009,0.0933,2.5203,0.0,0,PoA
2026-05-04T13:38:44.451758,22,0,0.29,0.009,0.0933,2.2861,0.0,0,PoA
2026-05-04T13:39:26.743047,22,0,0.73,0.009,0.0933,2.3102,0.0,0,PoA
2026-05-04T13:40:09.382095,22,0,0.31,0.0099,0.0933,2.729,0.0,0,PoA
2026-05-04T13:40:51.779591,22,0,6.2,0.0098,0.0933,2.2396,0.0,0,PoA
2026-05-04T13:41:34.540570,22,0,0.31,0.0095,0.0929,3.461,0.0,0,PoA
2026-05-04T13:42:16.933420,22,0,16.14,0.0094,0.0933,2.3567,0.0,0,PoA
2026-05-04T13:43:00.708048,1,21,37.86,0.0098,0.1158,2.9175,0.0,0,PoA
2026-05-04T13:43:43.887755,22,0,0.28,0.0103,0.0933,3.4529,0.0,0,PoA
2026-05-04T13:44:26.024513,22,0,0.36,0.0104,0.0933,3.6374,0.0,0,PoA
2026-05-04T13:45:09.861994,22,0,8.55,0.0104,0.0933,2.7532,0.0,0,PoA
2026-05-04T13:45:52.419509,22,0,0.63,0.0096,0.0933,2.985,0.0,0,PoA
2026-05-04T13:46:36.148829,22,0,0.57,0.0095,0.0933,2.9854,0.0,0,PoA
2026-05-04T13:47:19.717485,22,0,0.32,0.0111,0.093,2.8607,0.0,0,PoA
2026-05-04T13:48:02.614463,22,0,23.39,0.0148,0.0932,2.8435,0.0,0,PoA
2026-05-04T13:48:45.327734,22,0,15.8,0.0106,0.0932,2.4236,0.0,0,PoA
2026-05-04T13:49:27.971952,1,21,22.76,0.0097,0.1164,4.2358,0.0,0,PoA
2026-05-04T13:50:10.297406,22,0,0.43,0.01,0.0917,2.7048,0.0,0,PoA
2026-05-04T13:50:52.550973,22,0,0.36,0.0109,0.0933,2.5893,0.0,0,PoA
2026-05-04T13:51:35.389718,22,0,15.72,0.0106,0.0933,2.59,0.0,0,PoA
2026-05-04T13:52:17.453343,1,21,2.28,0.0114,0.118,3.186,0.0,0,PoA
2026-05-04T13:53:00.936646,22,0,2.66,0.0117,0.0933,2.5417,0.0,0,PoA
2026-05-04T13:53:43.835460,22,0,0.47,0.0525,0.0932,2.5404,0.0,0,PoA
2026-05-04T13:54:27.253254,22,0,10.76,0.0113,0.0933,2.8686,0.0,0,PoA
2026-05-04T13:55:10.331759,22,0,0.35,0.0699,0.1166,3.8249,0.0,0,PoA
2026-05-04T13:55:53.849647,22,0,0.4,0.0112,0.0933,2.59,0.0,0,PoA
2026-05-04T13:56:36.887778,22,0,0.82,0.0395,0.0933,2.6587,0.0,0,PoA
2026-05-04T13:57:19.324930,22,0,19.16,0.0142,0.0933,3.803,0.0,0,PoA
2026-05-04T13:58:03.124289,1,21,11.08,0.0105,0.1166,4.5004,0.0,0,PoA
2026-05-04T13:58:45.399803,22,0,21.55,0.0114,0.0933,3.4523,0.0,0,PoA
2026-05-04T13:59:28.640753,22,0,0.24,0.0289,0.0933,2.6355,0.0,0,PoA
2026-05-04T14:00:12.388172,22,0,0.68,0.0103,0.0933,2.6134,0.0,0,PoA
2026-05-04T14:00:54.985588,22,0,14.43,0.01,0.0933,2.5664,0.0,0,PoA
2026-05-04T14:01:38.868191,22,0,159.99,0.0192,0.07,2.3087,0.0,0,PoA
2026-05-04T14:02:21.789298,22,0,1.2,0.0111,0.0932,4.0073,0.0,0,PoA
2026-05-04T14:03:04.848308,22,0,1377.97,0.0098,0.07,2.3552,0.0,0,PoA
2026-05-04T14:03:47.893701,22,0,1.2,0.0106,0.0932,3.2145,0.0,0,PoA
2026-05-04T14:04:29.970211,22,0,324.58,0.0085,0.0932,3.473,0.0,0,PoA
2026-05-04T14:05:13.154190,16,6,3.62,0.2434,0.1166,3.7788,0.0,0,PoA
