timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-04-28T12:25:02.133249,22,0,10.92,0.0158,0.0,0.0,0.0,0,PoET
2026-04-28T12:25:45.633479,18,4,0.26,0.0119,0.116,4.9631,0.0455,0,PoET
2026-04-28T12:26:28.872035,17,5,0.71,0.0157,0.0699,2.8875,0.0,0,PoET
2026-04-28T12:27:11.700652,1,21,1.96,0.0114,0.1162,4.9981,0.0455,6,PoET
2026-04-28T12:27:54.441563,17,5,16.37,0.0125,0.0466,1.2803,0.0455,0,PoET
2026-04-28T12:28:38.192017,17,5,3.7,0.0106,0.0931,3.0725,0.0,0,PoET
2026-04-28T12:29:21.260738,1,21,0.36,0.0119,0.1164,4.7735,0.0,0,PoET
2026-04-28T12:30:04.945393,22,0,0.34,0.0094,0.0926,3.3343,0.0,23,PoET
2026-04-28T12:30:48.718511,22,0,304.14,0.0107,0.0932,2.5163,0.0,0,PoET
2026-04-28T12:31:32.328535,13,9,0.27,0.0098,0.1398,4.7073,0.0,2,PoET
2026-04-28T12:32:15.415789,16,6,0.69,0.0115,0.0698,2.7693,0.0455,2,PoET
2026-04-28T12:32:58.798480,16,6,0.8,0.0097,0.0698,2.188,0.0,0,PoET
2026-04-28T12:33:41.375343,16,6,15.04,0.0094,0.0699,2.1895,0.0,0,PoET
2026-04-28T12:34:24.375008,16,6,278.34,0.0108,0.0233,0.9781,0.0,0,PoET
2026-04-28T12:35:07.886197,22,0,0.38,0.0108,0.1165,3.775,0.0,29,PoET
2026-04-28T12:35:51.169902,22,0,303.16,0.0121,0.0699,2.2592,0.0,0,PoET
2026-04-28T12:36:33.542400,22,0,0.48,0.0093,0.1165,4.1698,0.0,0,PoET
2026-04-28T12:37:16.812913,22,0,13.57,0.0104,0.0931,2.4918,0.0,0,PoET
2026-04-28T12:37:59.823142,17,5,1.75,0.0093,0.1395,5.1151,0.0,2,PoET
2026-04-28T12:38:43.045947,17,5,0.35,0.0117,0.0698,3.2124,0.0,0,PoET
2026-04-28T12:39:26.279597,17,5,11.53,0.013,0.0459,1.792,0.0,0,PoET
2026-04-28T12:40:09.970954,17,5,1.65,0.0098,0.0698,2.2113,0.0,0,PoET
2026-04-28T12:40:52.951134,17,5,373.5,0.0098,0.0698,3.3047,0.0,0,PoET
2026-04-28T12:41:35.056119,22,0,11.34,0.0116,0.1164,3.7491,0.0,28,PoET
2026-04-28T12:42:17.185284,22,0,22.2,0.0106,0.1164,3.8882,0.0,0,PoET
