timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-05-14T12:35:16.835980,16,6,50.44,0.0124,0.1162,3.6478,0.0455,1,PoET
2026-05-14T12:35:59.366802,1,21,0.51,0.0118,0.0465,1.4405,0.0455,0,PoET
2026-05-14T12:36:43.194641,1,21,80.82,0.0107,0.0928,2.6924,0.0,5,PoET
2026-05-14T12:37:26.247890,22,0,1.12,0.0115,0.015,3.036,0.0,0,PoET
2026-05-14T12:38:09.620805,22,0,4.47,0.0108,0.0929,2.254,0.0,0,PoET
2026-05-14T12:38:53.350587,1,21,61.02,0.0099,0.0928,2.5065,0.0,0,PoET
2026-05-14T12:39:35.706440,22,0,95.27,0.0112,0.1162,3.8576,0.0,0,PoET
2026-05-14T12:40:17.832202,17,5,68.13,0.0091,0.1164,1.4228,0.0,0,PoET
2026-05-14T12:41:00.576533,17,5,243.96,0.0108,0.0929,2.2771,0.0,0,PoET
2026-05-14T12:41:43.136832,17,5,92.41,0.0103,0.0928,2.4137,0.0455,1,PoET
2026-05-14T12:42:26.486620,22,0,452.14,0.0103,0.0931,3.0025,0.0,12,PoET
2026-05-14T12:43:09.803281,4,18,21.84,0.0107,0.0693,2.5194,0.0,0,PoET
2026-05-14T12:43:52.198410,17,5,1.18,0.1915,0.0931,0.2816,0.0,0,PoET
2026-05-14T12:44:34.650746,22,0,10.21,0.0103,0.0929,2.4378,0.0,0,PoET
2026-05-14T12:45:18.029330,17,5,3.61,0.0106,0.0931,3.0725,0.0,0,PoET
2026-05-14T12:46:00.439996,22,0,485.27,0.0113,0.1146,3.3756,0.0,4,PoET
2026-05-14T12:46:43.801554,16,6,0.5,0.0115,0.0698,2.7693,0.0455,2,PoET
2026-05-14T12:47:26.595756,17,5,11.17,0.013,0.0459,1.792,0.0,0,PoET
2026-05-14T12:48:10.136047,17,5,0.73,0.0091,0.1164,3.4228,0.0,0,PoET
2026-05-14T12:48:53.744652,18,4,2.9,0.0119,0.0932,2.9593,0.0455,0,PoET
2026-05-14T12:49:37.140983,18,4,53.53,0.0119,0.116,4.9631,0.0455,0,PoET
2026-05-14T12:50:19.560320,17,5,373.28,0.0098,0.0698,3.3047,0.0,0,PoET
2026-05-14T12:51:01.796935,22,0,222.18,0.0106,0.1164,3.8882,0.0,0,PoET
2026-05-14T12:51:43.953482,16,6,15.52,0.0094,0.0699,2.1895,0.0,0,PoET
2026-05-14T12:52:27.327459,1,21,18.14,0.0119,0.1162,4.2074,0.0455,2,PoET
2026-05-14T12:53:09.602871,16,6,35.19,0.0115,0.085,2.7437,0.0,7,PoET
2026-05-14T12:53:52.984629,17,5,1.36,0.0098,0.0698,2.2113,0.0,0,PoET
2026-05-14T12:54:35.377079,22,0,52.69,0.0103,0.1164,4.5617,0.0,0,PoET
2026-05-14T12:55:19.040045,4,18,281.52,0.065,0.0445,0.6901,0.0455,1,PoET
2026-05-14T12:56:01.078102,21,1,47.21,0.0098,0.093,2.2542,0.0455,3,PoET
2026-05-14T12:56:43.679739,4,18,1.76,0.068,0.0694,1.8508,0.0455,0,PoET
2026-05-14T12:57:26.321225,4,18,0.13,0.0092,0.0697,2.1826,0.0,0,PoET
2026-05-14T12:58:09.902505,22,0,0.49,0.0111,0.069,1.4487,0.0,2,PoET
2026-05-14T12:58:52.548884,22,0,2.37,0.0098,0.0926,2.5223,0.0,0,PoET
2026-05-14T12:59:35.875501,1,21,55.23,0.0115,0.1161,3.6677,0.0,1,PoET
2026-05-14T13:00:18.728591,22,0,0.86,0.0089,0.0931,2.6539,0.0,4,PoET
2026-05-14T13:01:01.240982,22,0,1.85,0.0105,0.0925,2.612,0.0,0,PoET
2026-05-14T13:01:43.582746,22,0,4.03,0.0111,0.1156,3.9293,0.0,4,PoET
2026-05-14T13:02:26.402420,22,0,0.22,0.008,0.0687,2.6563,0.0,5,PoET
2026-05-14T13:03:09.028748,22,0,48.88,0.0098,0.069,2.1634,0.0,0,PoET
2026-05-14T13:03:52.745349,17,5,23.25,0.0105,0.0693,2.2395,0.0,0,PoET
2026-05-14T13:04:36.117463,21,1,9.7,0.018,0.0683,1.2062,0.0,7,PoET
2026-05-14T13:05:18.574829,1,21,274.22,0.0103,0.0929,2.206,0.0,0,PoET
2026-05-14T13:06:01.013069,17,5,14.5,0.0115,0.1181,4.2035,0.0,3,PoET
2026-05-14T13:06:44.872778,22,0,0.12,0.0449,0.1165,3.1693,0.0,0,PoET
2026-05-14T13:07:26.963163,2,20,17.18,0.0096,0.0698,2.7469,0.0,4,PoET
2026-05-14T13:08:09.289371,22,0,16.09,0.0118,0.0929,2.2518,0.0,0,PoET
