timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-04-19T18:29:01.976571,21,1,1.16,0.0097,0.0698,2.9296,0.0,2,PoS
2026-04-19T18:29:45.892204,18,4,0.39,0.1562,0.0932,2.8892,0.0,1,PoW
2026-04-19T18:30:29.342241,22,0,1286.37,0.0122,0.0988,1.7425,0.0,1,PoW
2026-04-19T18:31:11.406085,22,0,437.19,0.0301,0.0698,1.9777,0.0,0,PoW
2026-04-19T18:31:54.481851,21,1,0.83,0.0089,0.0992,2.9143,0.0,0,PoA
2026-04-19T18:32:37.685242,22,0,7.07,0.0112,0.0699,2.2359,0.0,0,PoA
2026-04-19T18:33:19.926259,21,1,954.28,0.011,0.1164,3.2823,0.0,0,PoA
2026-04-19T18:34:01.986452,21,1,97.06,0.0424,0.099,2.9547,0.0,2,PoS
2026-04-19T18:34:45.748474,22,0,0.89,0.0884,0.0923,2.9687,0.0,2,PoS
2026-04-19T18:35:29.591219,21,1,0.41,0.0593,0.0698,2.9088,0.0909,0,PoS
2026-04-19T18:36:12.694617,22,0,0.38,0.0989,0.0992,2.7298,0.0,0,PoS
2026-04-19T18:36:55.611690,22,0,0.31,0.0146,0.0932,2.574,0.0,1,PoS
2026-04-19T18:37:39.236568,22,0,25.33,0.0088,0.0698,2.8385,0.0,1,PoS
2026-04-19T18:38:22.852681,2,20,0.31,0.0108,0.0233,0.4426,0.0,1,PoW
2026-04-19T18:39:06.525099,1,21,0.31,0.0108,0.0463,1.9648,0.0,2,PoW
2026-04-19T18:39:49.713122,1,21,581.58,0.0085,0.0931,2.3517,0.0,2,PoW
2026-04-19T18:40:32.911871,21,1,0.27,0.0893,0.0699,1.0948,0.0455,1,PoW
2026-04-19T18:41:15.590624,21,1,0.31,0.0106,0.0699,2.633,0.0,1,PoW
2026-04-19T18:41:58.137769,21,1,359.59,0.0119,0.0461,0.8997,0.0455,1,PoW
2026-04-19T18:42:41.783764,22,0,82.99,0.0091,0.0932,2.0728,0.0,1,PoW
2026-04-19T18:43:23.930957,21,1,0.91,0.0098,0.0687,1.4661,0.0455,0,PoW
2026-04-19T18:44:07.310050,21,1,1.17,0.0115,0.0699,2.0491,0.0,1,PoW
2026-04-19T18:44:50.054134,22,0,0.3,0.0104,0.0931,2.6763,0.0,2,PoW
2026-04-19T18:45:32.695626,21,1,1257.55,0.0105,0.0932,1.9071,0.0,0,PoW
2026-04-19T18:46:15.803588,22,0,1151.37,0.0217,0.0931,2.2815,0.0,0,PoW
2026-04-19T18:46:58.737552,5,17,0.87,0.117,0.092,2.9235,0.0,0,PoS
2026-04-19T18:47:41.113554,22,0,27.85,0.0988,0.0983,2.8212,0.0,1,PoS
2026-04-19T18:48:23.840501,1,21,459.66,0.088,0.1131,2.5844,0.0,1,PoS
2026-04-19T18:49:06.388030,2,20,0.29,0.0104,0.0932,2.8832,0.0,0,PoS
2026-04-19T18:49:49.622872,4,18,1345.13,0.0122,0.0932,0.0,0.0,2,PoW
2026-04-19T18:50:33.194570,21,1,905.8,0.0116,0.0672,2.9123,0.0,2,PoW
2026-04-19T18:51:15.611811,21,1,0.93,0.0998,0.0696,2.3681,0.0455,0,PoS
2026-04-19T18:51:58.672498,7,15,0.33,0.0998,0.0465,2.9635,0.0455,1,PoS
2026-04-19T18:52:42.518403,22,0,0.95,0.0149,0.0926,2.6623,0.0455,3,PoS
2026-04-19T18:53:26.009954,22,0,45.59,0.0904,0.0929,2.693,0.0,0,PoS
2026-04-19T18:54:08.783738,21,1,36.08,0.09,0.0893,2.2094,0.0,0,PoS
2026-04-19T18:54:50.910595,21,1,17.56,0.0995,0.0931,2.4876,0.0,1,PoS
