timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-05-11T14:33:56.245519,22,0,177.54,0.0416,0.0926,2.0597,0.0,0,DBFT
2026-05-11T14:34:39.560094,21,1,66.66,0.0708,0.0918,3.8581,0.0455,0,DBFT
2026-05-11T14:35:22.381664,1,21,142.89,0.1076,0.1164,2.7932,0.0,1,DBFT
2026-05-11T14:36:05.215490,21,1,93.29,0.0685,0.0454,4.7492,0.0455,1,DBFT
2026-05-11T14:36:49.091009,1,21,37.43,0.0111,0.0932,2.0502,0.0,2,DBFT
2026-05-11T14:37:32.703158,1,21,253.39,0.0101,0.0466,1.2343,0.0,2,PoS
2026-05-11T14:38:15.319093,22,0,27.28,0.0108,0.0466,5.0944,0.0,3,PoS
2026-05-11T14:38:58.123265,22,0,0.23,0.0114,0.1144,2.585,0.0,0,PoS
2026-05-11T14:39:41.578014,22,0,0.24,0.0113,0.0932,2.7948,0.0,1,DBFT
2026-05-11T14:40:24.569457,8,14,0.27,0.1166,0.1163,2.6981,0.0,0,DBFT
2026-05-11T14:41:07.042330,21,1,26.43,0.0806,0.0684,1.6879,0.0455,0,DBFT
2026-05-11T14:41:49.921133,1,21,34.34,0.0307,0.0696,1.5554,0.0909,1,DBFT
2026-05-11T14:42:32.427654,22,0,327.44,0.0401,0.0932,2.5154,0.0,2,PoS
2026-05-11T14:43:14.878290,22,0,42.58,0.0234,0.1164,2.1193,0.0,0,PoS
2026-05-11T14:43:57.068627,1,21,167.18,0.0111,0.0929,2.834,0.0,0,PoS
2026-05-11T14:44:39.228759,22,0,25.99,0.0594,0.0689,2.1705,0.0,1,PoS
2026-05-11T14:45:21.315093,22,0,284.26,0.0306,0.1131,3.1665,0.0,0,PoS
2026-05-11T14:46:04.883244,22,0,63.3,0.0391,0.0932,2.3523,0.0,0,PoS
2026-05-11T14:46:47.612424,22,0,1186.64,0.0233,0.0938,1.7111,0.0,1,PoS
2026-05-11T14:47:30.001001,22,0,213.81,0.0637,0.1156,2.6595,0.0,0,PoS
2026-05-11T14:48:13.823684,1,21,349.98,0.0146,0.1164,2.8628,0.0,0,PoS
2026-05-11T14:48:56.157452,21,1,154.42,0.0216,0.0698,2.0462,0.0,1,PoS
2026-05-11T14:49:38.592051,1,21,908.4,0.0297,0.1157,3.8458,0.0,1,PoS
2026-05-11T14:50:22.091594,19,3,184.23,0.0102,0.0465,3.255,0.0909,1,PoS
2026-05-11T14:51:04.195489,22,0,52.06,0.0105,0.0932,2.283,0.0,3,PoA
2026-05-11T14:51:47.889627,22,0,423.26,0.0104,0.0931,1.8629,0.0,0,PoA
2026-05-11T14:52:30.997720,22,0,1463.01,0.0134,0.0931,2.1422,0.0,0,PoA
2026-05-11T14:53:13.499189,22,0,91.4,0.0393,0.1161,2.7177,0.0,0,PoS
2026-05-11T14:53:57.323771,1,21,211.44,0.0194,0.0699,2.026,0.0455,0,PoS
2026-05-11T14:54:41.001904,21,1,1574.17,0.0111,0.0466,0.8151,0.0455,0,PoS
2026-05-11T14:55:23.191209,22,0,126.11,0.0385,0.093,3.0237,0.0,2,PoS
2026-05-11T14:56:05.283168,22,0,247.23,0.0697,0.113,3.0951,0.0,0,PoS
2026-05-11T14:56:48.504445,21,1,42.54,0.0149,0.093,1.8606,0.0,1,PoS
2026-05-11T14:57:32.334695,22,0,1757.77,0.0109,0.0698,4.7451,0.0,1,PoA
2026-05-11T14:58:15.706740,22,0,241.69,0.0108,0.093,2.5564,0.0,0,PoA
2026-05-11T14:58:59.328143,1,21,787.92,0.0105,0.116,3.0398,0.0,0,PoA
2026-05-11T14:59:42.751470,22,0,685.1,0.0096,0.0696,1.8103,0.0,0,PoW
2026-05-11T15:00:25.566448,21,1,53.24,0.0104,0.0696,2.9285,0.0,1,PoW
2026-05-11T15:01:07.710319,22,0,99.28,0.0098,0.0695,1.343,0.0,2,PoW
2026-05-11T15:01:51.213215,22,0,42.59,0.011,0.0931,2.9791,0.0,0,PoW
2026-05-11T15:02:35.025049,1,21,37.4,0.0093,0.0465,4.7913,0.0,0,PoW
2026-05-11T15:03:17.578065,3,19,412.22,0.011,0.0466,0.9083,0.0455,2,PoW
2026-05-11T15:04:00.499906,1,21,327.44,0.0099,0.0696,3.0201,0.0,2,PoW
2026-05-11T15:04:44.371170,19,3,68.28,0.0111,0.0466,2.5837,0.0,3,PoW
2026-05-11T15:05:27.340053,21,1,216.91,0.0103,0.0699,1.3043,0.0455,0,PoW
2026-05-11T15:06:09.402427,22,0,183.68,0.0589,0.0698,3.8856,0.0,2,PoS
2026-05-11T15:06:51.952306,21,1,12.63,0.0102,0.093,2.7194,0.0455,0,PoS
2026-05-11T15:07:34.114739,1,21,221.98,0.0496,0.0931,1.8164,0.0,1,PoS
2026-05-11T15:08:18.019053,1,21,84.26,0.0098,0.0466,1.2578,0.0,1,PoS
2026-05-11T15:09:01.410795,22,0,56.26,0.01,0.0466,2.8851,0.0,0,DBFT
2026-05-11T15:09:43.746115,22,0,421.06,0.0796,0.0931,2.0723,0.0,0,DBFT
2026-05-11T15:10:27.103715,20,2,73.33,0.0196,0.0699,1.1414,0.0,0,PoET
2026-05-11T15:11:10.124742,1,21,142.74,0.0397,0.0466,3.8849,0.0,2,PoET
2026-05-11T15:11:53.539778,22,0,58.23,0.0108,0.0932,1.9795,0.0,2,PoET
2026-05-11T15:12:36.133413,1,21,27.23,0.0104,0.0692,1.6835,0.0,0,PoET
2026-05-11T15:13:19.531254,22,0,47.66,0.01,0.0931,1.9787,0.0,2,PoS
2026-05-11T15:14:01.572514,17,5,97.29,0.0328,0.1165,2.1428,0.0,0,PoS
2026-05-11T15:14:44.553098,22,0,24.89,0.0384,0.0929,2.1138,0.0,1,PoS
2026-05-11T15:15:27.035956,1,21,62.87,0.0102,0.0466,2.1176,0.0455,1,PoS
2026-05-11T15:16:09.871823,21,1,114.62,0.011,0.0697,3.5567,0.0455,2,PoS
2026-05-11T15:16:52.161884,1,21,29.59,0.0104,0.0465,1.4197,0.0,1,PoS
