timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-04-13T10:32:05.281366,22,0,119.62,0.0118,0.0929,3.1582,0.0,0,DBFT
2026-04-13T10:32:48.383114,22,0,0.31,0.0113,0.1161,3.227,0.0,0,DBFT
2026-04-13T10:33:31.147507,22,0,0.52,0.1103,0.0932,2.725,0.0,0,DBFT
2026-04-13T10:34:14.554609,22,0,0.81,0.0119,0.095,2.2534,0.0,0,DBFT
2026-04-13T10:34:56.948447,22,0,1.46,0.2118,0.0931,2.6779,0.0,0,DBFT
2026-04-13T10:35:40.222670,22,0,31.0,0.0106,0.0932,5.0083,0.0,0,DBFT
2026-04-13T10:36:23.151318,22,0,337.77,0.011,0.0931,2.9796,0.0,0,DBFT
2026-04-13T10:37:06.683034,20,2,0.27,0.021,0.1181,3.9693,0.0,0,DBFT
2026-04-13T10:37:48.751193,22,0,0.9,0.0112,0.093,2.2078,0.0,0,DBFT
2026-04-13T10:38:31.555853,22,0,0.73,0.0118,0.0932,2.2833,0.0,0,DBFT
2026-04-13T10:39:14.283868,22,0,0.32,0.0109,0.0928,3.2264,0.0,0,DBFT
2026-04-13T10:39:57.624004,22,0,19.78,0.0128,0.0932,3.1234,0.0,0,DBFT
2026-04-13T10:40:40.102199,1,21,19.24,0.0101,0.1165,3.7731,0.0,0,DBFT
2026-04-13T10:41:22.842909,22,0,1.4,0.0136,0.0931,3.1435,0.0,0,DBFT
2026-04-13T10:42:06.296984,22,0,0.31,0.01,0.0939,2.4505,0.0,0,DBFT
2026-04-13T10:42:48.734612,22,0,0.64,0.0104,0.0932,2.7044,0.0,0,DBFT
2026-04-13T10:43:31.342269,22,0,1.21,0.0101,0.0932,2.7281,0.0,0,DBFT
2026-04-13T10:44:14.044789,22,0,395.99,0.0116,0.0931,2.2343,0.0,0,DBFT
2026-04-13T10:44:56.613700,18,4,3.28,0.0474,0.1165,2.8698,0.0,0,DBFT
2026-04-13T10:45:40.327068,22,0,0.31,0.0113,0.0927,3.1739,0.0,0,DBFT
2026-04-13T10:46:22.526290,22,0,1.44,0.0114,0.093,2.4636,0.0,0,DBFT
2026-04-13T10:47:04.946169,22,0,0.25,0.1258,0.095,2.6839,0.0,0,DBFT
2026-04-13T10:47:47.245996,22,0,31.49,0.0104,0.0926,2.3147,0.0,0,DBFT
2026-04-13T10:48:31.084291,1,21,105.06,0.0116,0.1162,3.3222,0.0,0,DBFT
2026-04-13T10:49:13.834055,22,0,0.29,0.0117,0.0933,2.5889,0.0,0,DBFT
2026-04-13T10:49:55.956077,22,0,3.52,0.0118,0.0932,3.0981,0.0,0,DBFT
2026-04-13T10:50:39.772283,22,0,1.15,0.0099,0.0932,2.6792,0.0,0,DBFT
2026-04-13T10:51:22.825535,22,0,1.63,0.0105,0.0932,2.2126,0.0,0,DBFT
2026-04-13T10:52:05.700655,22,0,30.46,0.0095,0.0945,3.2597,0.0,0,DBFT
2026-04-13T10:52:49.548863,22,0,444.64,0.0118,0.0931,2.5143,0.0,0,DBFT
2026-04-13T10:53:32.143409,22,0,0.58,0.0099,0.1163,5.3016,0.0,0,DBFT
2026-04-13T10:54:15.413936,22,0,0.36,0.0113,0.0943,3.205,0.0,0,DBFT
2026-04-13T10:54:58.928418,22,0,4.02,0.0103,0.0932,2.8425,0.0,0,DBFT
2026-04-13T10:55:41.328479,22,0,0.3,0.0105,0.0932,2.3777,0.0,0,DBFT
2026-04-13T10:56:24.005281,22,0,13.13,0.1149,0.0932,2.7495,0.0,0,DBFT
2026-04-13T10:57:07.248191,1,21,29.43,0.0097,0.1159,2.6157,0.0,0,DBFT
2026-04-13T10:57:49.941697,22,0,2.33,0.0117,0.0932,2.8203,0.0,0,DBFT
2026-04-13T10:58:33.109462,22,0,25.64,0.0119,0.0931,2.886,0.0,0,DBFT
2026-04-13T10:59:15.439001,22,0,0.51,0.0134,0.095,3.2763,0.0,0,DBFT
2026-04-13T10:59:58.867678,22,0,4.62,0.0119,0.0928,2.8567,0.0,0,DBFT
2026-04-13T11:00:42.108782,22,0,284.81,0.0116,0.0932,3.1224,0.0,0,DBFT
2026-04-13T11:01:25.360721,1,21,1.22,0.1113,0.1158,2.7329,0.0,0,DBFT
2026-04-13T11:02:08.686638,22,0,0.29,0.0118,0.0927,2.9898,0.0,0,DBFT
2026-04-13T11:02:51.999028,22,0,4.96,0.0107,0.0932,2.3063,0.0,0,DBFT
2026-04-13T11:03:35.737611,22,0,4.87,0.0112,0.0932,2.3767,0.0,0,DBFT
2026-04-13T11:04:18.761387,22,0,17.18,0.013,0.0951,3.5907,0.0,0,DBFT
2026-04-13T11:05:01.584876,22,0,677.09,0.0111,0.0928,2.9474,0.0,0,DBFT
2026-04-13T11:05:45.083882,20,2,0.33,0.0253,0.1165,2.7728,0.0,0,DBFT
2026-04-13T11:06:28.262329,22,0,0.77,0.0103,0.093,3.0688,0.0,0,DBFT
2026-04-13T11:07:10.578614,22,0,18.34,0.0099,0.0948,1.9202,0.0,0,DBFT
2026-04-13T11:07:53.534407,22,0,0.59,0.0121,0.0932,2.7719,0.0,0,DBFT
2026-04-13T11:08:37.447396,22,0,33.13,0.0149,0.0932,2.6328,0.0,0,DBFT
2026-04-13T11:09:21.366794,22,0,795.26,0.0115,0.0931,2.0273,0.0,0,DBFT
2026-04-13T11:10:04.730261,1,21,5.23,0.0113,0.1179,1.9624,0.0,0,DBFT
2026-04-13T11:10:47.211359,22,0,0.41,0.0188,0.0922,3.0663,0.0,0,DBFT
2026-04-13T11:11:29.506971,22,0,0.52,0.0119,0.093,2.4423,0.0,0,DBFT
2026-04-13T11:12:13.191134,22,0,0.31,0.0117,0.0937,2.303,0.0,0,DBFT
2026-04-13T11:12:56.570687,22,0,32.97,0.1108,0.0932,2.7962,0.0,0,DBFT
2026-04-13T11:13:39.843590,1,21,4.51,0.0119,0.1146,2.7595,0.0,0,DBFT
2026-04-13T11:14:22.908565,22,0,0.68,0.0145,0.0919,2.5732,0.0,0,DBFT
2026-04-13T11:15:05.319214,22,0,0.75,0.0119,0.0931,2.6786,0.0,0,DBFT
2026-04-13T11:15:47.740893,22,0,0.41,0.0107,0.0932,3.6316,0.0,0,DBFT
2026-04-13T11:16:31.152573,22,0,37.94,0.0109,0.0932,2.8889,0.0,0,DBFT
2026-04-13T11:17:13.446864,22,0,541.87,0.0102,0.0943,2.4995,0.0,0,DBFT
