timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-04-30T09:40:15.673161,6,16,16.31,0.0094,0.0465,1.3938,0.0,2,PoET
2026-04-30T09:40:59.109408,22,0,1.25,0.0103,0.1163,3.6753,0.0,6,PoET
2026-04-30T09:41:42.641540,1,21,0.38,0.0111,0.093,3.6746,0.0,0,PoS
2026-04-30T09:42:26.460802,22,0,0.31,0.0107,0.0926,3.5417,0.0,0,PoS
2026-04-30T09:43:10.209737,6,16,21.27,0.0133,0.0931,2.071,0.0,0,PoS
2026-04-30T09:43:53.506853,1,21,446.95,0.0305,0.0697,1.6024,0.0,0,PoW
2026-04-30T09:44:35.741042,1,21,1078.04,0.0129,0.0462,0.947,0.0,9,PoW
2026-04-30T09:45:17.956405,17,5,333.28,0.0112,0.0697,2.1139,0.0455,10,PoW
2026-04-30T09:46:00.247263,5,17,0.55,0.0091,0.0696,3.3921,0.0,0,PoW
2026-04-30T09:46:44.004327,5,17,17.26,0.028,0.0703,1.383,0.0,5,PoW
2026-04-30T09:47:26.850933,22,0,0.29,0.009,0.0923,2.0769,0.0,9,PoW
2026-04-30T09:48:09.264222,22,0,41.19,0.0099,0.0698,3.8609,0.0,0,PoW
2026-04-30T09:48:52.694999,22,0,548.84,0.0098,0.093,2.371,0.0,0,PoW
2026-04-30T09:49:35.001128,4,18,197.33,0.0378,0.0934,3.2239,0.0455,2,PoW
2026-04-30T09:50:17.978028,17,5,79.72,0.0113,0.0687,2.2209,0.0455,2,PoW
2026-04-30T09:51:01.455644,22,0,0.25,0.0103,0.093,2.9062,0.0,9,PoW
2026-04-30T09:51:44.285385,22,0,0.23,0.0102,0.0942,2.3084,0.0,0,PoW
2026-04-30T09:52:26.399534,22,0,287.96,0.0103,0.093,2.8599,0.0,0,DBFT
2026-04-30T09:53:09.121885,16,6,255.38,0.0129,0.093,2.9978,0.0,0,DBFT
2026-04-30T09:53:52.795924,16,6,0.85,0.0096,0.093,2.7196,0.0,1,DBFT
2026-04-30T09:54:36.095895,20,2,684.81,0.0082,0.0949,2.7988,0.0,0,PoS
2026-04-30T09:55:19.167976,22,0,733.01,0.0112,0.093,2.6744,0.0,0,PoS
2026-04-30T09:56:02.863281,1,21,76.19,0.0095,0.1163,3.6968,0.0,0,PoS
2026-04-30T09:56:46.246378,1,21,1.26,0.009,0.0464,1.4384,0.0,0,PoS
2026-04-30T09:57:29.343229,1,21,21.03,0.011,0.0699,2.6088,0.0,4,DBFT
2026-04-30T09:58:11.612225,21,1,16.93,0.0094,0.0471,0.9175,0.0455,2,DBFT
2026-04-30T09:58:54.110411,17,5,18.74,0.0109,0.0931,2.3515,0.0,7,DBFT
2026-04-30T09:59:37.156468,17,5,0.28,0.0104,0.0704,1.7832,0.0,0,PoW
2026-04-30T10:00:19.598977,9,13,0.41,0.0439,0.093,2.255,0.0,7,PoW
2026-04-30T10:01:02.625023,22,0,395.49,0.0227,0.0919,3.1249,0.0,8,PoW
2026-04-30T10:01:45.242969,18,4,0.8,0.0088,0.0938,3.3053,0.0,0,DBFT
2026-04-30T10:02:28.119536,18,4,731.82,0.01,0.0698,2.651,0.0,0,DBFT
2026-04-30T10:03:10.321307,18,4,26.58,0.0131,0.0697,2.6258,0.0,2,DBFT
2026-04-30T10:03:54.187641,22,0,835.88,0.0167,0.1166,2.844,0.0,0,PoW
2026-04-30T10:04:38.050401,1,21,61.82,0.0092,0.0924,2.6808,0.0,0,PoW
