timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-05-02T12:31:54.979656,18,4,6.82,0.0194,0.0698,2.1186,0.0,0,PoW
2026-05-02T12:32:38.665877,18,4,737.35,0.0106,0.0932,2.1193,0.0,0,PoW
2026-05-02T12:33:21.016806,18,4,2.17,0.03,0.0698,1.9558,0.0,0,PoW
2026-05-02T12:34:04.703632,18,4,1583.95,0.0112,0.0694,2.0597,0.0,0,PoW
2026-05-02T12:34:48.539113,22,0,848.99,0.0319,0.0631,0.2776,0.0,0,PoW
2026-05-02T12:35:31.096343,18,4,886.45,0.0121,0.0661,1.1052,0.0,0,PoW
2026-05-02T12:36:14.712295,18,4,151.39,0.0169,0.0765,0.5808,0.0,0,PoW
2026-05-02T12:36:56.893481,18,4,28.04,0.0188,0.0464,1.1358,0.0,0,PoW
2026-05-02T12:37:39.242198,18,4,75.42,0.2126,0.087,2.0877,0.0,0,PoW
2026-05-02T12:38:21.567284,18,4,154.66,0.0533,0.0841,1.7446,0.0,0,PoW
2026-05-02T12:39:03.878694,18,4,35.28,0.1934,0.0696,1.8316,0.0,0,PoW
2026-05-02T12:39:46.267412,18,4,105.54,0.0491,0.0636,2.0607,0.0,0,PoW
2026-05-02T12:40:29.881469,18,4,232.64,0.079,0.0681,1.9066,0.0,0,PoW
2026-05-02T12:41:12.868089,18,4,1.55,0.0593,0.0464,1.3234,0.0,0,PoW
2026-05-02T12:41:56.720350,18,4,0.32,0.0192,0.0764,1.4161,0.0,0,PoW
2026-05-02T12:42:39.716313,18,4,67.37,0.0113,0.0464,0.9517,0.0,0,PoW
2026-05-02T12:43:22.954396,18,4,356.41,0.0092,0.0732,2.6733,0.0,0,PoW
2026-05-02T12:44:05.465942,18,4,743.46,0.0099,0.0232,0.5106,0.0,0,PoW
2026-05-02T12:44:48.823695,18,4,536.49,0.012,0.0832,0.5338,0.0,0,PoW
2026-05-02T12:45:31.551627,18,4,536.37,0.0098,0.0,0.0,0.0,0,PoW
2026-05-02T12:46:15.291149,22,0,270.6,0.01,0.0928,1.5312,0.0,0,PoW
2026-05-02T12:46:58.864447,21,1,753.49,0.013,0.1133,2.4239,0.0455,0,PoW
2026-05-02T12:47:42.286876,15,7,166.34,0.0125,0.0995,1.0896,0.0909,0,PoW
2026-05-02T12:48:25.994647,21,1,23.99,0.0117,0.0925,1.7349,0.0,0,PoW
2026-05-02T12:49:09.341018,21,1,0.57,0.0091,0.0995,1.6909,0.0,0,PoW
2026-05-02T12:49:52.746509,21,1,0.27,0.0088,0.0696,1.2056,0.0,0,PoW
2026-05-02T12:50:35.808676,17,5,1006.04,0.0096,0.0463,1.741,0.0,0,PoW
2026-05-02T12:51:18.016903,17,5,262.37,0.0095,0.0694,1.0865,0.0,0,PoW
2026-05-02T12:52:01.253892,4,18,690.07,0.0331,0.0995,1.5985,0.0,0,PoW
2026-05-02T12:52:44.950067,21,1,1511.35,0.0108,0.0755,1.7957,0.0,0,PoW
2026-05-02T12:53:27.863219,21,1,879.64,0.0104,0.0916,2.6026,0.0,0,PoW
2026-05-02T12:54:10.902099,21,1,107.9,0.0109,0.0688,1.261,0.0,0,PoW
2026-05-02T12:54:54.293554,17,5,1409.91,0.0103,0.0856,1.9796,0.0,0,PoW
2026-05-02T12:55:36.941325,17,5,532.38,0.0189,0.0958,1.4585,0.0,0,PoW
2026-05-02T12:56:19.985064,17,5,1500.76,0.0178,0.0907,2.9729,0.0,0,PoW
2026-05-02T12:57:02.086467,17,5,1510.6,0.0104,0.0987,1.2598,0.0,0,PoW
2026-05-02T12:57:45.721853,17,5,1494.35,0.0102,0.0861,1.7832,0.0,0,PoW
